CID,카테고리명,KDC분류,KDC분류명
78246,자습서,37,교육학
78247,수능단단,37,교육학
78248,수능상상,37,교육학
78249,절대문항,37,교육학
121632,씨리얼,37,교육학
114971,All-in-One 백브기출,37,교육학
119852,EBS모든작품,37,교육학
123042,최상위,37,교육학
122004,단톡,37,교육학
90222,단권화,37,교육학
120736,막강봉투모의고사,37,교육학
77661,디딤돌,37,교육학
77700,라인교육,37,교육학
78073,삼육구십,37,교육학
77727,리딩영어사,74,영어
77671,마더텅,37,교육학
155902,수능형 MP3,37,교육학
155903,수능기출 문제집(까만책),37,교육학
155904,수능기출 모의고사(빨간책),37,교육학
119621,수능기출문제집,37,교육학
127595,미니모의고사,37,교육학
114633,100%영어듣기,74,영어
122791,학평기출문제집,37,교육학
186327,1등급 어휘력,37,교육학
186328,수능기출 300제,37,교육학
78163,100%수능형,37,교육학
78164,연도별수능기출문제집,37,교육학
78165,4주완성,37,교육학
78166,연도별이코노미,37,교육학
112611,매쓰에듀케이션강수,37,교육학
112614,For수학모의고사,41,수학
77690,맨투맨,37,교육학
78092,MAN-TO-MAN 종합영어,74,영어
78093,Man To Man 클릭,37,교육학
78094,Man to Man 기본영어,74,영어
172389,콕콕 EBS 변형,37,교육학
172390,메가헤르츠 수학,41,수학
124677,함정 N제,37,교육학
155905,EBS 분석노트 유사변형,37,교육학
155906,개념백과,37,교육학
155907,CPR 수학문제기본서,41,수학
155908,시그니처 30,37,교육학
155909,수능영단어,37,교육학
155910,절대평가 큐,37,교육학
79423,메가N제,37,교육학
78108,N-tree엔트리,37,교육학
78109,기출해설서_E후,37,교육학
78110,메가OO제_언어영역,70,언어
78111,메가OO제_외국어영역,37,교육학
78112,메가OO제_수리영역,37,교육학
78113,메가OO제_사탐영역,37,교육학
78114,메가OO제_과탐영역,37,교육학
78115,12종문학기본서,80,문학
78116,플래닛,37,교육학
78117,메시지,37,교육학
78118,더뉴클래식,37,교육학
78119,나이스,37,교육학
78814,메가OO제,37,교육학
78815,기출해설서,37,교육학
87487,EBS분석노트,37,교육학
87488,EBS외전,37,교육학
87489,알랑가몰라,37,교육학
90521,수능분석노트,37,교육학
87318,수학 개념서 XL(엑스라지),41,수학
178808,수능기출분석서,37,교육학
122134,자격시리즈,37,교육학
122135,빅데이터기출문제집,37,교육학
117164,수능독학매일풀기,37,교육학
118507,EBS시크릿특강,37,교육학
88310,EBS콕콕모의고사,37,교육학
177805,EBS분석노트,37,교육학
177806,예비기출분석서,37,교육학
173594,메가실전모의고사,37,교육학
133172,빅데이터외전,37,교육학
130050,빅데이터첫기출,37,교육학
110709,매일30분_모바일,37,교육학
110710,매일30분_3주완성,37,교육학
107034,502기출문제집,37,교육학
107035,듣기모의고사,37,교육학
107036,매일30분,37,교육학
107037,수학개념서XL,41,수학
107038,일등공신교과서,37,교육학
107039,티슈,37,교육학
107040,필살기,37,교육학
148294,천기누출 봉투모의고사,37,교육학
157757,수력ON(고등),37,교육학
78104,수능파스타,37,교육학
78105,수능안테나,37,교육학
78106,큐피드,37,교육학
78107,기출해설서_E전,37,교육학
79175,과학,37,교육학
79176,수학,41,수학
79177,사회,37,교육학
79178,국어,37,교육학
79179,영어,74,영어
77685,메가북스,37,교육학
79270,메인에듀,37,교육학
121404,명진아트,37,교육학
121406,수능 백전백승,37,교육학
121631,변형문제,37,교육학
121629,모자이크,37,교육학
77660,미래엔,37,교육학
123360,N기출,37,교육학
113106,붐 특강,37,교육학
158858,올리드 시험직보(고등),37,교육학
158859,그래머바이트(고등),37,교육학
158860,리딩바이트(고등),37,교육학
158861,워드바이트,37,교육학
163638,수능주도권,37,교육학
131117,파사쥬 팝,37,교육학
78250,1등급 만들기,37,교육학
78251,깨부수기,37,교육학
78252,단비를 만나다,37,교육학
78253,매쓰블릭,37,교육학
78254,수능 적중 기출 & 예상 문제집,37,교육학
78255,Allead(올리드),37,교육학
113908,1등급 만들기,37,교육학
113909,문학집중,80,문학
114975,투지 to.Z 영단어,37,교육학
147564,유형중심(고등),37,교육학
147565,NEW올리드,37,교육학
147566,N기출_고등,37,교육학
147567,학과보고,37,교육학
147568,손쉬운,37,교육학
79168,파사쥬 붐,37,교육학
135452,수학중심(고등),41,수학
165049,룩(LOOK),37,교육학
78027,적성검사,37,교육학
77717,박문각,37,교육학
128389,베리타스큐,37,교육학
128390,수능최종모의고사,37,교육학
77657,블랙박스(JINHAK),37,교육학
147663,블랙라벨_더개념,37,교육학
147664,블랙라벨_공식집,37,교육학
147665,그림어원(수능),37,교육학
130291,통큰전국연합기출,37,교육학
78267,단호박,37,교육학
78268,기출스페셜,37,교육학
78269,블랙라벨,37,교육학
78270,언어스캔들,70,언어
118934,비법노트,37,교육학
122413,통큰수능기출,37,교육학
162756,지금필수(고등),37,교육학
162841,Full수록,37,교육학
78129,완자,37,교육학
78130,내공의 힘,37,교육학
78131,한권으로끝내기,37,교육학
78132,개념플러스,37,교육학
78133,오투,37,교육학
78134,수능 아우라,37,교육학
78135,ssol 쏠,37,교육학
78136,언어예찬,70,언어
78137,리더스뱅크,37,교육학
178010,완자기출픽,37,교육학
114034,단기특강,37,교육학
85553,수능카운트다운,37,교육학
90431,개플문,37,교육학
90432,속전속결,37,교육학
90433,내플수,37,교육학
150397,만렙수학(고등),41,수학
108546,한끝국어영역,37,교육학
108547,한끝영어영역,74,영어
108548,한끝사회탐구,37,교육학
108549,고등과학,37,교육학
108550,과학탐구,37,교육학
77679,비상교육,37,교육학
108545,개플문수학,41,수학
77677,비전,37,교육학
78139,우선순위,37,교육학
78140,쭉쭉 읽어라,37,교육학
78125,사이언스 브릿지,37,교육학
78126,강남인강,37,교육학
77681,사이언스브릿지,37,교육학
77703,사피엔스21,37,교육학
121880,냥쌤과 함께하는 국어여행,37,교육학
78816,수능리셋,37,교육학
122266,컬렉션,37,교육학
78064,언어의기술,70,언어
78065,수학의재구성,41,수학
78066,시간단축,37,교육학
78067,기적시리즈,37,교육학
78068,유난히수학,41,수학
78069,경선식영단어,37,교육학
78021,상상쏙,37,교육학
77722,상상아카데미,37,교육학
112610,생각의질서,37,교육학
112613,한석원모의고사,37,교육학
131810,넘버원모의고사,37,교육학
131809,생각이큰사람,37,교육학
77713,서울고시각,37,교육학
78033,사관학교,37,교육학
78138,한수위,37,교육학
77678,서울에듀,37,교육학
77725,서원각,37,교육학
109834,기분업,37,교육학
78016,수시완전정복,37,교육학
78017,수시미니핸드북,37,교육학
78144,성문영어,74,영어
77675,성문출판사,37,교육학
77728,성실교육,37,교육학
77676,성지출판,37,교육학
78141,수학의정석,41,수학
78142,기본수학유형집,41,수학
78143,실력수학,41,수학
124784,형상기억,37,교육학
122341,키워드,37,교육학
118764,일등급,37,교육학
161228,개념이지,37,교육학
119903,0순위,37,교육학
119624,수력충전(고등),37,교육학
133078,절대평가,37,교육학
133079,결정적보카,37,교육학
131539,바른개념,37,교육학
179326,심플 자이스토리,37,교육학
179327,자이 비문학 독해,80,문학
138719,0순위모의고사,37,교육학
148852,최강적중 파이널,37,교육학
79172,자이스토리,37,교육학
152143,문제로보카,37,교육학
152144,1등급고난도,37,교육학
78101,자이스토리,37,교육학
78102,올찬,37,교육학
78103,자이프리미엄,37,교육학
132743,DMZ수학(고등),41,수학
133795,XiP수학영역,41,수학
132781,XiP영어영역,74,영어
132782,XiP국어영역,37,교육학
143870,XiP사회탐구영역,37,교육학
143871,XiP과학탐구영역,37,교육학
132783,Xi한국사,37,교육학
132776,Xi수학영역,41,수학
132777,Xi영어영역,74,영어
132778,Xi국어영역,37,교육학
132779,Xi사회탐구영역,37,교육학
132780,Xi과학탐구영역,37,교육학
79173,수능실전편,37,교육학
79174,수능기본편,37,교육학
77686,수경,37,교육학
119620,수능의기술,37,교육학
106689,수와이야기,37,교육학
106691,스토리텔링수학(고등과정),41,수학
77694,수학은국력,41,수학
78081,꿀꺽수학,41,수학
78082,라이브,41,수학
78075,생강,37,교육학
77698,스터디하우스,37,교육학
122023,스토리페인터,37,교육학
122026,이원준 실전모의고사,37,교육학
77716,시대교육,37,교육학
78028,구술면접/입학사정관,37,교육학
78029,대입적성검사,37,교육학
124994,필기노트로 수능 다잡기,37,교육학
150276,시대인재books,37,교육학
150277,한완수,37,교육학
150278,일격필살,37,교육학
150279,이해원,37,교육학
150280,포카칩,37,교육학
167007,UAA&DCAF,37,교육학
162931,폴라리스,37,교육학
77693,쎄듀,37,교육학
122792,고교영어 절대평가 PLAN A,74,영어
154535,올씀,37,교육학
157608,원샷영어,74,영어
78083,천일문,37,교육학
78084,어법끝 어휘끝,37,교육학
78085,쎄듀 모의고사,37,교육학
78086,첫단추시리즈,37,교육학
78087,파워업시리즈,37,교육학
78088,천일문SW,37,교육학
77720,쏠티북스,37,교육학
77715,씨사이트,37,교육학
85836,씨사이트,37,교육학
85837,계통수학,41,수학
114423,수학의샘,41,수학
114424,아샘수학,41,수학
114425,짱어려운수학,41,수학
114426,짱중요한수학,41,수학
131115,Hi Math,37,교육학
79622,센터링 수학,41,수학
79623,짱 쉬운 유형 수학,41,수학
79624,20강짜리 수리영역 수학,41,수학
79621,아름다운샘,37,교육학
121405,아이오씨에스,37,교육학
121408,앤디션,37,교육학
77691,아이옥스,37,교육학
78090,지피지기,37,교육학
78091,개념원론,37,교육학
78072,강남인강,37,교육학
77701,애니모비,37,교육학
77699,에듀왕,37,교육학
122604,에듀왕,37,교육학
78074,공부의 신,37,교육학
122608,자신감수학(고등),41,수학
78162,대훈수학,41,수학
77672,에브라임,37,교육학
88829,오르비,37,교육학
119258,포카칩모의평가,37,교육학
119259,히든카이스모의고사,37,교육학
119260,KU모의고사,37,교육학
119261,수능실록,37,교육학
120755,TOP모의고사,37,교육학
121117,색시한 세모변,37,교육학
115165,한권으로 완성하는 수학,41,수학
136091,오르비 N제,37,교육학
114634,수학의 기준,41,수학
120545,리듬농구 모의평가,37,교육학
120579,쌍승 모의평가,37,교육학
120580,라인 모의평가,37,교육학
77692,유웨이북스,37,교육학
78089,공감,37,교육학
78034,필수영단어,37,교육학
77711,은파윈쓰리,37,교육학
77684,이룸E&B,37,교육학
122560,실시간,37,교육학
122561,굿비,37,교육학
163633,미래로 하우투 수능,37,교육학
163634,숨마쿰라우데 스타트업(고등),37,교육학
163635,숨마쿰라우데 라이트수학,41,수학
78120,숨마쿰라우데,37,교육학
78121,미래로수능기출,37,교육학
123359,PaceMaker,37,교육학
78022,수능리허설,37,교육학
78023,E·수능연계,37,교육학
136092,비기,37,교육학
123259,ez 전국연합학력평가,37,교육학
77721,이지수능,37,교육학
77656,이투스그룹,37,교육학
88375,전반전,37,교육학
88376,반전,37,교육학
121081,반전_수능파이널,37,교육학
111975,반전_수능실전편,37,교육학
111976,반전_약점체크편,37,교육학
